#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2013 01 01 01 15  10  2.7 99.0 99.00 99.00 99.00 999 1019.2  -9.0 999.0 999.0  6.0 99.00
2013 01 01 18 45  80  2.2 99.0  0.00 99.00 99.00 999 1019.2  -9.0 999.0 999.0  3.0 99.00
2013 01 01 19 00 331  3.1 99.0  0.00 99.00 99.00 999 1019.9  -8.0 999.0 999.0  3.0 99.00
2013 01 01 21 55 260  2.7 99.0 99.00 99.00 99.00 999 1019.2 -11.0 999.0 999.0  6.0 99.00
2013 01 02 00 50 280  2.2 99.0  0.00 99.00 99.00 999 1018.8 -12.0 999.0 999.0  6.0 99.00
2013 01 02 12 50 300  3.1 99.0  0.30 99.00 99.00 999 1016.1 -11.0 999.0 999.0 99.0 99.00
2013 01 02 16 45   5 99.0 99.0  0.00 99.00 99.00 999 1017.5  -8.0 999.0 999.0  6.0 99.00
2013 01 02 19 00 225  1.8 99.0  0.00 99.00 99.00 999 1018.5  -7.0 999.0 999.0  6.0 99.00
2013 01 02 22 00 235  2.7 99.0  0.00 99.00 99.00 999 1017.8  -6.0 999.0 999.0  6.0 99.00
2013 01 03 00 55 310  2.2 99.0  0.00 99.00 99.00 999 1018.5  -6.0 999.0 999.0  6.0 99.00
2013 01 03 12 55 290  2.2 99.0  0.00 99.00 99.00 999 1015.8  -7.0 999.0 999.0  6.0 99.00
2013 01 03 17 20 335  4.5 99.0  0.30 99.00 99.00 999 1018.5 999.0 999.0 999.0  6.0 99.00
2013 01 03 19 25 260  3.1 99.0  0.30 99.00 99.00 999 1017.2  -3.0 999.0 999.0 99.0 99.00
2013 01 03 22 30 270  2.2 99.0  0.30 99.00 99.00 999 1017.5  -4.0 999.0 999.0  6.0 99.00
2013 01 04 00 55 300  4.5 99.0  0.60 99.00 99.00 999 1018.8  -5.0 999.0 999.0  1.0 99.00
2013 01 04 12 50 300  4.5 99.0 99.00 99.00 99.00 999 1014.4 -10.0 999.0 999.0  3.0 99.00
2013 01 04 16 26 290  4.5 99.0  0.30 99.00 99.00 999 1014.1  -8.0 999.0 999.0  6.0 99.00
2013 01 04 21 20 310  4.5 99.0  0.30 99.00 99.00 999 1014.1  -2.0 999.0 999.0  6.0 99.00
2013 01 04 21 45 200  3.6 99.0  0.60 99.00 99.00 999 1014.8  -3.0 999.0 999.0 99.0 99.00
2013 01 05 00 50 310  4.0 99.0  0.00 99.00 99.00 999 1016.8  -3.0 999.0 999.0  6.0 99.00
2013 01 05 12 55 305  1.8 99.0 99.00 99.00 99.00 999 1020.5 -10.0 999.0 999.0  3.0 99.00
2013 01 05 15 45 222  0.9 99.0 99.00 99.00 99.00 999 1018.8  -4.0 999.0 999.0  6.0 99.00
2013 01 05 18 55 205  5.4 99.0  0.60 99.00 99.00 999 1014.4   1.0 999.0 999.0  6.0 99.00
2013 01 05 19 10 180  6.3 99.0  0.60 99.00 99.00 999 1015.1  -1.0 999.0 999.0  6.0 99.00
2013 01 05 21 55 235  2.2 99.0 99.00 99.00 99.00 999 1012.4  -1.0 999.0 999.0  6.0 99.00
2013 01 06 01 00 240  1.3 99.0  0.00 99.00 99.00 999 1012.4  -3.0 999.0 999.0  3.0 99.00
2013 01 06 13 15   6  2.2 99.0  0.30 99.00 99.00 999 1009.0  -2.0 999.0 999.0 99.0 99.00
2013 01 06 15 50 310  3.1 99.0  0.30 99.00 99.00 999 1015.5  -1.0 999.0 999.0  6.0 99.00
2013 01 06 18 55 310  5.4 99.0  0.30 99.00 99.00 999 1015.5  -1.0 999.0 999.0  6.0 99.00
2013 01 06 21 50 340  0.9 99.0  0.00 99.00 99.00 999 1019.2  -2.0 999.0 999.0  6.0 99.00
2013 01 07 12 50 200  7.6 99.0  0.60 99.00 99.00 999 1019.2  -5.0 999.0 999.0  1.0 99.00
2013 01 07 17 15 200  8.5 99.0  0.90 99.00 99.00 999 1014.8   0.0 999.0 999.0  6.0 99.00
2013 01 07 19 10 220  6.7 99.0  0.90 99.00 99.00 999 1013.4   3.0 999.0 999.0  6.0 99.00
2013 01 08 00 50 200  4.0 99.0  0.60 99.00 99.00 999 1014.4   1.0 999.0 999.0  6.0 99.00
2013 01 08 16 00 215  2.2 99.0  0.30 99.00 99.00 999 1019.2   1.0 999.0 999.0  6.0 99.00
